kanji,radical,frequency,JLPT_level
人,人,817004,5
何,人,743033,5
私,禾,578766,4
分,刀,508472,5
見,見,484479,5
大,大,471716,5
言,言,446473,4
前,刀,435313,5
子,子,417464,5
行,行,392860,5
出,凵,391136,5
気,气,384815,5
俺,人,371155,0
今,人,369899,5
一,一,351673,5
手,手,323384,4
生,生,320957,5
日,日,318183,5
話,言,317990,5
事,亅,307172,4
彼,彳,306231,3
間,門,305170,5
時,日,301869,5
女,女,288016,5
来,人,278527,5
思,心,277630,4
君,口,263139,3
本,木,257586,5
中,丨,251867,5
者,老,240806,4
会,曰,226882,4
入,入,213604,5
上,一,212327,5
知,矢,208620,4
自,自,206130,4
僕,人,200991,1
当,田,196110,3
年,干,193489,5
最,曰,192082,3
家,宀,181776,4
物,牛,181156,4
聞,耳,179662,5
長,長,171565,5
理,玉,170829,4
目,目,170677,4
合,口,170565,3
部,邑,168905,3
音,音,168832,4
心,心,166160,4
待,彳,165925,4
全,入,162612,3
後,彳,160470,5
誰,言,159634,0
違,辵,157405,3
食,食,157062,5
男,田,151152,5
方,方,149419,4
力,力,149252,4
死,歹,147329,4
悪,心,146952,4
変,言,144564,3
持,手,143690,4
場,土,143479,4
同,口,140726,4
夫,大,140438,3
先,儿,140314,5
作,人,140062,4
体,骨,135459,4
下,一,134757,5
動,力,134430,4
殺,殳,130900,3
無,火,130315,2
所,戶,129118,3
様,木,127074,3
感,心,126946,3
取,又,126798,3
声,耳,124159,3
性,心,123946,3
戦,戈,123653,3
度,广,121419,4
金,金,121297,5
回,囗,120739,3
意,心,120033,4
高,高,119385,5
父,父,119115,5
要,襾,118770,3
信,人,116946,3
地,土,116516,4
学,子,116514,5
明,日,116038,4
実,宀,115948,3
名,口,114297,5
好,女,113003,3
仕,人,112809,4
不,一,110340,4
親,見,108610,4
的,白,108042,4
楽,木,107000,4
国,囗,106515,5
母,毋,106273,5
丈,一,103358,0
勝,力,103291,3
通,辵,102676,4
結,糸,102358,1
世,一,100911,4
用,用,100657,4
切,刀,100603,4
立,立,100432,4
早,日,100300,4
発,癶,100158,4
着,羊,99931,4
戻,戶,99211,3
決,水,99050,3
外,夕,98887,5
解,角,97766,3
帰,止,97531,4
使,人,97022,4
必,心,96365,3
員,口,95682,4
連,辵,95384,3
田,田,93248,4
真,目,93239,4
問,口,92446,4
味,口,92062,4
少,小,91807,4
助,力,91689,3
教,攴,91239,4
次,欠,91049,3
対,寸,90962,3
小,小,90563,5
番,田,89976,3
愛,心,89965,3
考,老,89272,4
別,刀,87460,4
電,雨,87437,5
代,人,86944,4
車,車,86487,5
神,示,86069,3
失,大,84130,3
新,斤,83825,4
緒,糸,83752,3
落,艸,82490,3
正,止,81913,4
美,羊,81700,3
開,門,81152,4
初,刀,80990,3
確,石,80761,3
元,儿,80682,4
夜,夕,79684,4
野,里,78577,4
残,歹,78306,3
関,門,77833,3
頼,貝,77727,3
強,弓,77583,4
面,面,77062,3
終,糸,76926,4
界,田,76405,4
友,又,75821,5
配,酉,75580,3
引,弓,75485,3
命,口,75453,3
相,目,75223,3
近,辵,74209,4
郎,邑,74059,1
書,曰,73127,5
士,士,73115,1
達,辵,72790,3
撃,手,72783,1
警,言,72458,3
王,玉,72389,3
調,言,72059,3
月,月,71428,5
法,水,71172,3
供,人,70281,3
安,宀,70093,4
題,頁,70068,4
止,止,69747,4
張,弓,69700,1
伝,人,69643,3
始,女,68845,4
以,人,68785,4
込,辵,68779,3
屋,尸,68435,4
機,木,67777,3
社,示,67611,4
現,玉,67096,3
向,口,66866,3
魔,鬼,66463,1
山,山,66233,5
道,辵,66178,4
然,火,65999,3
身,身,65986,3
直,目,65786,3
業,木,65556,4
白,白,65530,5
空,穴,65472,4
成,戈,65412,3
木,木,65313,5
我,戈,65228,1
口,口,64989,4
情,心,64368,3
起,走,64237,4
覚,見,63910,3
続,糸,63706,3
逃,辵,63483,3
呼,口,63458,3
願,頁,62985,3
足,足,62857,4
任,人,62814,3
選,辵,62757,3
太,大,62373,3
報,土,62166,3
水,水,61296,5
海,水,61121,4
他,人,61013,3
内,入,60742,3
笑,竹,60153,3
件,人,59885,3
付,人,59518,3
返,辵,59489,3
急,心,59296,4
守,宀,58687,3
受,又,58651,3
兄,儿,58532,4
乗,丿,58468,3
主,丶,58241,4
数,攴,57809,3
息,心,57794,3
運,辵,57654,4
定,宀,57271,3
能,肉,56635,3
平,干,56603,3
族,方,56003,4
由,田,55769,3
顔,頁,55699,3
優,人,55644,3
婚,女,55151,3
多,夕,55142,4
店,广,54905,4
重,里,54880,4
画,田,54843,4
飲,食,54755,4
絶,糸,54085,3
頭,頁,53620,3
嫌,女,53241,1
約,糸,53119,3
料,斗,52786,4
過,辵,52012,3
奴,女,51766,1
組,糸,51727,3
校,木,51453,5
消,水,50909,3
置,网,50203,3
負,貝,49896,3
放,攴,49851,3
係,人,49700,3
皆,白,49606,3
備,人,49581,3
天,大,49519,5
指,手,49413,3
記,言,49272,3
得,彳,49264,3
村,木,48582,2
離,隹,48579,1
買,貝,48447,4
寝,宀,48250,3
集,隹,48216,4
状,犬,47997,3
万,艸,47976,5
原,厂,47845,3
追,辵,47668,3
飛,飛,47297,3
証,言,47208,1
送,辵,47156,4
犯,犬,47052,3
危,卩,46851,3
官,宀,46813,3
査,木,46073,2
利,刀,46064,3
忘,心,46048,3
特,牛,45827,4
礼,示,45714,3
化,匕,45539,3
葉,艸,45412,3
務,力,45397,3
売,貝,45110,4
客,宀,44923,3
語,言,44772,5
病,疒,44687,4
察,宀,44642,3
仲,人,44275,2
二,二,44246,5
血,血,44214,2
反,又,44114,3
怖,心,43951,3
捜,手,43925,2
望,月,43806,3
認,言,43500,3
断,斤,43481,3
品,口,43470,4
進,辵,43409,3
軍,車,43019,2
許,言,42771,3
果,木,42576,3
流,水,42299,3
痛,疒,42272,3
計,言,42174,4
説,言,41912,3
娘,女,41850,3
転,車,41782,4
完,宀,41776,3
夢,夕,41521,3
室,宀,41501,4
告,口,41443,3
役,彳,41000,3
点,黑,40969,3
護,言,40810,1
師,巾,40756,3
苦,艸,40603,3
隊,阜,40533,1
歳,止,40503,3
船,舟,40479,3
加,力,40441,3
可,口,40389,3
幸,干,40365,3
捕,手,40338,3
星,日,40071,2
傷,人,40040,1
探,手,40036,3
予,豕,39740,3
保,人,39606,1
試,言,39258,4
経,糸,38182,3
罪,网,37997,3
良,艮,37964,3
風,風,37874,4
表,衣,37855,3
術,行,37790,3
朝,月,37710,4
想,心,37661,3
兵,八,37478,2
歌,欠,37319,4
期,月,37279,3
応,心,37243,1
文,文,37019,4
歩,止,36927,4
活,水,36801,3
光,儿,36779,3
貴,貝,36680,1
火,火,36504,5
突,穴,36279,3
住,人,36263,4
謝,言,35891,1
第,竹,35781,1
敵,攴,35781,1
険,阜,35697,3
隠,阜,35697,1
頑,頁,35686,1
治,水,35660,3
判,刀,35409,3
抜,手,35369,3
花,艸,35314,4
座,广,35270,3
難,隹,35213,3
質,貝,35167,4
医,酉,35093,4
倒,人,34997,3
念,心,34846,3
悟,心,34800,1
週,辵,34754,4
怒,心,34731,3
薬,艸,34691,3
黒,黑,34561,4
